aM gaRAya,am+gaRAya
kiM surendro,kim+surendra
kiMkartavyamiti,kiMkartavyam+iti
kiMkartavyamUQAsmi,kiMkartavyamUQA+asmi
kiMkartavyamUQo jAtaH,kiMkartavyamUQaH+jAtaH
kiMkartavyavimUQo'BUn,kiMkartavyavimUQaH+aBUvan
kiMcanAGawizyata,kiMcana+aGawizyata
kiMcanAnuBUtam,kiMcana+anuBUtam
kiMcanArjitum,kiMcana+arjitum
kiMcanA''ntarikam,kiMcana+Antarikam
kiMcitkaratvAditi,kiMcitkaratvAt+iti
kiMcittAtkAlikam,kiMcit+tAtkAlikam
kiMcitsADarmyAdupasaMhAre,kiMcitsADarmyAt+upasaMhAre
kiMcitsamayapUrvameva,kiMcit+samayapUrvameva
kiMcidaMSe,kiMcit+aMSe
kiMcidanirvacanIyam,kiMcit+anirvacanIyam
kiMcidanutpAdasya,kiMcit+anutpAdasya
kiMcidanupapannamiti,kiMcidanupapannam+iti
kiMcidanupapannam,kiMcit+anupapannam
kiMcidapekzayA,kiMcit+apekzayA
kiMcidaBiDatte,kiMcit+aBiDatte
kiMcidavacCinnatayA,kiYcit+avacCinnatayA
kiMcidASrayanASasya,kiMcit+ASrayanASasya
kiMcidutkfzya,kiMcit+utkfzya
kiMcidutpAdasya,kiMcit+utpAdasya
kiMcidudIrayanti,kiMcit+udIrayanti
kiMcid vicArya,kiMcit+vicArya
kiMcidDarmAvacCinnAvacCedakatA,kiMcidDarmAvacCinna+avacCedakata
kiMcidDarmAvacCinnAvacCedakatASAli,kiYcit+DarmAvacCinnAvacCedakatASAli
kiMcidDarmAvacCinnEva,kiMcidDarmAvacCinna+eva
kiMcidrUpasattvena,kiMcit+rUpasattvena
kiMcidvastutatvam,kiMcit+vastutatvam
kiMcidvicArayati,kiMcit+vicArayati
kiMcidviDeyakatva,kiMcit+viDeyakatva
kiMcidbADakamasti,kiMcidbADakam+asti
kiMtvanOpADikaH,kiMtu+anOpADikaH
kiMtvarTapattiH,kintu+arTapattiH
kiMtviti,kiMtu+iti
kiMpadapravfttini,kim+padapravfttini
kiMpadaSaktiH,kim+padaSaktiH
kiMpadasya,kim+padasya
kiMpadArTasya,kim+padArTasya
kiMpadArTAnvayaH,kim+padArTAnvayaH
kiMpadArTAnvayitA'vacCedaketyarTaH,kim+padArTAnvayitA'vacCedaketyarTaH
kiMpadena,kim+padena
kiMvAn,kim+vAn
kiMvA'yaM,kiMvA+ayaM
kiMSabdasya,kim+Sabdasya
kiMsajYako'yaM,kiMsajYakaH+ayaM
kiNkarA drumayoDinA,kiNkarAH+drumayoDinA
kiNkartavyavimUQo'sO,kiNkartavyavimUQaH+asO
kiNkiRIsUtravAYCaniH,kiNkiRIsUtravAn+SaniH
kiNkaratvamaBilazati,kiNkaratvam+aBilazati
kiNkartavyavimUQatvamaDigatam,kiNkartavyavimUQatvam+aDigatam
kicidupalabDam,kicit+upalabDam
kicidrasayanti,kicit+rasayanti
kiYcadanyaM,kiYcat+anyaM
kiYcanA'BAzata,kiYcana+aBAzata
kiYcA'nantA'nantaH,kiYca+anantAnantaH
kiYcitkavozRapAnIyaM,kiYcit+kavozRapAnIyaM
kiYcitkAlAnantaraM,kiYcit+kAlAnantaraM
kiYcitkAlAnantaraM,kiYcit+kAlAnantaraM
kiYcittIkzRABiH,kiYcit+tIkzRABiH
kiYcitprakArakatvAnirUpitatva,kiYcit+prakArakatvAnirUpitatva
kiYcitprArTayAmi,kiYcit+prArTayAmi
kiYcitvege,kiYcit+vege
kiYcitsamayAnantaram,kiYcit+samayAnantaram
kiYcitsarvAM,kiYcit+sarvAM
kiYcitkampamAnA,kiYcit+kampamAnA
kiYcitkAlAt,kiYcit+kAlAt
kiYcitpacAmi,kiYcit+pacAmi
kiYcidanuktvA,kiYcit+anuktvA
kiYcidapasftya,kiYcit+apasftya
kiYcidapi,kiYcid+api
kiYcidarucikaraM,kiYcit+arucikaraM
kiYcidarTakAmaBogopetaH,kiYcit+arTakAmaBogopetaH
kiYcidarpaRIyaM,kiYcit+arpaRIyaM
kiYcidavacCinnatvABAvAt,kiYcit+avacCinnatvABAvAt
kiYcidavalokayAmi,kiYcit+avalokayAmi
kiYcidArUQe,kiYcit+ArUQe
kiYcidAlapan,kiYcit+Alapan
kiYcidAvftte,kiYcit+Avftte
kiYcidiva,kiYcid+iva
kiYciducCvAsayogyaM,kiYcit+ucCvAsayogyam
kiYcidunnatapAdasya,kiYcit+unnatapAdasya
kiYcidunnamitamuKI,kiYcit+unnamitamuKI
kiYcidUnamUlyaM,kiYcit+anumUlyaM
kiYcidetat,kiYcit+etat
kiYcidetaditi,kiYcidetat+iti
kiYcid aDikAM,kiYcit+aDikAM
kiYcid aBilazanti,kiYcit+aBilazanti
kiYcid AsvAdayituM,kiYcit+AsvAdayituM
kiYcid ODdatyaM,kiYcit+ODdatyaM
kiYcid ditsAmaH,kiYcit+ditsAmaH
kiYcid dravyavyayena,kiYcit+dravyavyayena
kiYcid DOrtyaM,kiYcit+DOrtyaM
kiYcid baBAze,kiYcit+baBAze
kiYcid bravIti,kiYcit+bravIti
kiYcid BavatA,kiYcit+BavatA
kiYcid yAcitum,kiYcit+yAcitum
kiYcid vaktum,kiYcit+vaktum
kiYcid vakzyAmi,kiYcit+vakzyAmi
kiYcid vacanIyam,kiYcit+vacanIyam
kiYcid vanaPalAdi,kiYcit+vanaPalAdi
kiYcid vicAraya,kiYcit+vicAraya
kiYcid vijanasTAnaM,kiYcit+vijanasTAnaM
kiYcid viramya,kiYcit+viramya
kiYcid samAsannaH,kiYcit+samAsannaH
kiYcid hasitvA,kiYcit+hasitvA
kiYcid hfdayaprasAdaH,kiYcit+hfdayaprasAdaH
kiYciddUragamanAntaraM,kiYcit+dUragamanAntaraM
kiYciddUrameva,kiYcit+dUrameva
kiYcidDanasAhAyyaM,kiYcid+DanasAhAyyam
kiYcidDarmAvacCinna,kiYcit+DarmAvacCinna
kiYcidDarmAvacCinnatvAnavacCinnatvaviSizwA,kiYcit+DarmAvacCinnatvAnavacCinnatvaviSizwA
kiYcidDarmAvacCinnA,kiYcit+DarmAvacCinnA
kiYcidDarmopalakzitavftitvaM,kiYcit+Darmopalakzitavftitvam
kiYcidrasena,kiYcit+rasena
kiYcidvaktaviyamasti,kiYcidvaktavyam+asti
kiYcidvicArayati,kiYcit+vicArayati
kiYcidvidAhinaH,kiYcit+vidAhinaH
kiYcidviSrama,kiYcit+viSrama
kiYcidvihasya,kiYcit+vihasya
kiYcinnUtanaM,kiYcit+nUtanaM
kiYcinmAtreRa,kiYcit+mAtreRa
kiYcinmUrDani,kiYcit+mUrDani
kiYcinmuKAt,kiYcit+muKAt
kitetat,kim+etat
kintvasmAkaM,kintu+asmAkaM
kintvasmin,kintu+asmin
kintvekasmin,kintu+ekasmin
kinnarAdyASca,kinnarAdyAH+ca
kinnAmnIyaM,kinnAmnI+iyaM
kintvatisAmAnyarUpeRa,kintu+atisAmAnyarUpeRa
kintvatIva,kintu+atIva
kintvadya,kintu+adya
kintvadyAvaDi,kintu+adyAvaDi
kintvaDunA,kintu+aDunA
kintvanfRO,kintu+nfRO
kintvanena,kintu+anena
kintvaparam,kintu+aparam
kintvaparasmin,kintu+aparasmin
kintvayam,kintu+ayam
kintvasIdan,kintu+asIdan
kintvaspfSyA,kintu+aspfSyA
kintvasmAkam,kintu+asmAkam
kintvasyAH,kintu+asyAH
kintvaham,kintu+aham
kintvAtmano garvapradarSanArTamekadA'pi,kintu+Atmana
kintvAScaryaMkaram,kintu+AScaryakaram
kintvAScaryam,kintu+AScaryam
kintvAsIt,kintu+AsIt
kintvekadA,kintu+ekadA
kintvekam,kintu+ekam
kintvekasya,kintu+ekasya
kimakaTayat,kim+akaTayat
kimatrodAharaRaM,kimatra+udAharaRaM
kimaDikena,kim+aDikena
kimaDIte,kim+aDIte
kimaDunA'pi,kimaDunA+api
kimaDyayanam,kim+aDyayanam
kimanayA,kim+anayA
kimanizwaM,kim+anizwaM
kimanutizWati,kim+anutizWati
kimanutizWanti,kim+anutizWanti
kimanuBavabalAt,kim+anuBavabalAt
kimanuBUtam,kim+anuBUtam
kimanenetyASaMkyAha,kimanena+ityASaMkyAha
kimanyajAtyAm,kim+anyajAtyAm
kimanyadapi,kim+anyadapi
kimanyadASAsyam,kimanyat+ASAsyam
kimanye,kim+anye
kimanvayavyAptO,kim+anvayavyAptO
kimanvayI,kim+anvayI
kimanyat,kim+anyat
kimanyad,kim+anyad
kimaparam,kim+aparam
kimaparAdDam,kim+aparAdDam
kimapekzate,kim+apekzate
kimapyakaTayat,kimapi+akaTayat
kimapyatyAvaSyakaM,kimapi+atyAvaSyakaM
kimapyaDikabalaM,kimapi+aDikabalaM
kimapyanyat,kimapi+anyat
kimapyanyad,kimapi+anyad
kimapyapaSyat,kimapi+apaSyat
kimapyavaSezitama,kimapi+avaSezitam
kimapyaSituM,kimapi+aSituM
kimapyahaM,kimapi+ahaM
kimapyOzaDam,kimapi+OzaDam
kimapyanyat,kimapi+anyat
kimapyanyadanavalokya,kimapi+anavalokya
kimapyanyad,kimapi+anyad
kimapyapaSyan,kimapi+apaSyan
kimapyamanohAritvam,kimapi+amanohAritvam
kimapyavalokayati,kimapi+avalokayati
kimapyAkarRayat,kimapi+AkarRayat
kimapyAScaryam,kimapi+AScaryam
kimapyuktam,kimapi+uktam
kimapyuttaritam,kimapi+uttaritam
kimaBavizyat,kim+aBavizyat
kimaBiDAzyati,kim+aBiDAzyati
kimaBiDAsyasi,kim+aBiDAsyasi
kimaBivyaktaH,kim+aBivyaktaH
kimaBUt,kim+aBUt
kimayaM,kim+ayaM
kimarjitaM,kim+arjitaM
kimarTaM puraskftaH,kimarTam+puraskftaH
kimarTaM puraskftavAn,kimarTam+puraskftavAn
kimarTaYca,kimarTaM+ca
kimarTamatAqayam,kimarTam+atAqayam
kimarTamAnItavAn,kimarTam+AnItavAn
kimarTamAsIH,kimarTam+AsIH
kimarTamiticedBUtale,kimarTam+iticedBUtale
kimarTamete,kimarTam+ete
kimalpam,kim+alpam
kimavAntaravyApArIkftya,kim+avAntaravyApArIkftya
kimaSvameDayAgaM,kim+aSvameDayAgaM
kimasatyaM,kim+asatyaM
kimasmAkaM,kim+asmAkaM
kimasmAkam,kim+asmAkam
kimasyAH,kim+asyAH
kimasya,kim+asya
kimasyAm,kim+asyAm
kimahamapi,kim+ahamapi
kimAgacCat,kim+AgacCat
kimAGAtavaSAt,kim+AGAtavaSAt
kimAcarati,kim+Acarati
kimAjYApayati,kim+AjYApayati
kimAtmarakzaRakzamA,kim+AtmarakzaRakzamA
kimAnezyasi,kim+Anezyasi
kimAyAtam,kim+AyAtam
kimAlapata,kim+alapata
kimAlocitam,kim+Alocitam
kimAScaryam,kim+AScaryam
kimAsAditam,kim+AsAditam
kimAsIt,kim+AsIt
kimAsse,kim+Asse
kimAhvayAmaH,kim+AhvayAmaH
kimicCati,kim+icCati
kimicCasi,kim+icCasi
kimicCAmaH,kim+icCAmaH
kimicCAmi,kim+icCAmi
kimicCati,kim+icCati
kimitaranErapekzyeRa,kim+itaranErapekzyeRa
kimitIdam,kimiti+idam
kimityatra,kim+ityatra
kimityahaM,kimiti+ahaM
kimityatra,kimiti+atra
kimityanena,kim+ityanena
kimityayam,kimiti+ayam
kimityasti,kimiti+asti
kimityaham,kimiti+aham
kimityApnot,kimiti+Apnot
kimityetAvanti,kimiti+etAvanti
kimityetAvAn,kimiti+etAvAn
kimityevam,kimiti+evam
kimida,kim+idam
kimime,kim+ime
kimIdfSena,kim+IdfSena
kimIyatvatvAvacCinno lakzaRayA,kimIyatvatvAvacCinnaH+lakzaRayA
kimukA'pi,kimukA+api
kimuktaM Bavati,kimuktam+Bavati
kimuktena,kim+uktena
kimucitam,kim+ucitam
kimutA'nyasmE,kimutA+anyasmE
kimuttamam,kim+uttamam
kimutpattyapekzayA,kim+utpattyapekzayA
kimupanyastaM,kim+upanyastaM
kimetat,kim+etat
kimetadatiriktam,kim+etadatiriktam
kimetad,kim+etat
kimetAH,kim+etAH
kimetAni,kim+etAni
kimete,kim+ete
kimetena,kim+etena
kimevaMrItyA,kim+evaMrItyA
kimevaMviDe,kim+evaMviDe
kimezaH,kim+ezaH
kimezAM,kim+ezAM
kim etat,kim+etat
kimcijjAgftavatI,kiMcit+jAgftavatI
kimcidavagatavatyA,kiMcit+avagatavatyA
kimcidfRarUpeRa,kiMcit+fRarUpeRa
kimcillaBata,kiMcit+alaBata
kimpakzasADyakAnumitO,kim+pakzasADyakAnumitO
kimpuruzaM smftam,kimpuruzam+smftam
kimbahunA,kim+bahunA
kiyatApi,kiyatA+api
kiyatkAlakalAnantarantu,kiyat+kAlalakalAnantaramatu
kiyatsaMKyAparyantaM,kiyat+saMKyAparyantaM
kiyatkleSayati,kiyat+kleSayati
kiyatsuKavanti,kiyat+suKavanti
kiyadaDItaM,kiyat+aDItaM
kiyadapIrzyAdvezavikalA,kiyat+apIrzyAdvezavikalA
kiyadAnandollAsa,kiyat+AnandollAsa
kiyad utsukA,kiyat+utsukA
kiyad dinA'tikrame,kiyat+dinA'tikrame
kiyad duhyate,kiyat+duhyate
kiyaddinAtikrame,kiyat+dinAtikrame
kiyadBirdinEH,kiyadBiH+dinEH
kiyanto janAH,kiyantaH+janAH
kiyanmAtraM Kalu,kiyanmAtram+Kalu
kiyanmAtro'yaM,kiyanmAtraH+ayaM
kiyanto'smadBrAtaro,kiyantaH+asmadBrAtara
kiyAnna,kiyAn+na
kilAsakuzwagulmA'rSomehakrimikaPAnilAn,kilAsakuzwagulmA'rSaH+mehakrimikaPAnilAn
kilEtezu,kila+etezu
kiloccAvacacarAcarAYcanacuYcO,kila+uccAvacacarAcarAYcanacuYcO
kilOko,kila+ekO
kilbizamavApnoti,kilbizam+avApnoti
kilvizAttataH,kilvizAt+tataH
kiSorakARAM raveRa,kiSorakARAm+raveRa
kiSoramavadat,kiSoram+avadat
kiSorIvAnumIyate,kiSorIvAn+anumIyate
kizkinDAkARqavarRanaM nAma,kizkinDAkARqavarRanam+nAma
kizkinDAyAYca,kizkinDAyAm+ca
kiYcidudIrayanti,kiYcit+udIrayanti
kIdfSaM SoDasaMsTAnaM,kIdfSam+SoDasaMsTAnam
kIdfSaM sOjanyam,kIdfSam+sOjanyam
kIdfSaguRavAniti,kIdfSaguRavAn+iti
kIdfSamaBUd,kIdfSam+aBUt
kIdfSamAsIt,kIdfSam+AsIt
kIdfSamAhAraM,kIdfSam+AhAraM
kIdfSamidaM,kIdfSam+idaM
kIdfSamidam,kIdfSam+idam
kIdfSastasyA,kIdfSaH+tasyA
kIdfSA BavApUrRAH,kIdfSAH+BavApUrRAH
kIdfSA yatnAH,kIdfSAH+yatnAH
kIdfSIti,kIdfSI+iti
kIdfSItyarTaH,kIdfSI+ityarTaH
kIdfSIyaM,kIdfSI+iyaM
kIdfSIyam,kIdfSI+iyam
kIdfSo'yaM,kIdfSaH+ayaM
kIBUtAnandapadasyAnandASraye,kIBUtAnandapadasya+AnandASraye
kIrtitAnIti,kIrtitAni+iti
kIrtindurAhavo lokAH,kIrtindurAhavaH+lokAH
kIrtimapi,kIrtim+api
kIrtirakIrtO,kIrtiH+akIrtO
kIrtirapi,kIrti+api
kIlitameva,kIlitam+eva
kukaqUkUDvanimakarot,kukaqUkUDvanim+akarot
kukftyaYca,kukftyaM+ca
kukftyasyAsya,kukftyasya+asya
kukkuwaDvaniSravaRajanitodvego mama,kukkuwaDvaniSravaRajanitodvegaH+mama
kukkuwamAMsamapi,kukkuwamAMsam+api
kukkuwamuvAca,kukkuwam+uvAca
kukkuramadrAkzIt,kukkuram+adrAkzIt
kukkurA api,kukkurAH+api
kukkuro jagAda,kukkuraH+jagAda
kukzerAraBya,kukzeH+AraBya
kuYje'pi,kuYje+api
kuwilatAmavagantuM,kuwilatAm+avagantuM
kuwile'smin,kuwile+asmin
kuwIramAgatya,kuwIram+Agatya
kuwIramupetya,kuwIram+upetya
kuwIrasyEkasmin,kuwIrasya+ekasmin
kuwIre'vasat,kuwIre+avasat
kuwumbaBaraRamapi,kuwumbaBaraRam+api
kuwumbinastaTApi,kuwumbinaH+taTApi
kuwumbinAM vErasyahetusaYjAtA,kuwumbinAm+vErasyahetusaYjAtA
kuWAraYca,kuWAram+ca
kuWArANkuSacApAMSca,kuWArANkuSacApAn+ca
kuWilASca,kuWilAH+ca
kuWeraSigrusurasasumuKAsuriBUstfRam,kuWeraSigrusurasasumuKAsuriBUH+tfRam
kuqyAdivyavahitAnupalabDerapratizeDaH,kuqyAdivyavahitAnupalabDeH+pratizeDaH
kuqyAderiva,kuqyAdeH+iva
kuRqaM surottama,kuRqam+surottama
kuRqakaRWasamo'DaraH,kuRqakaRWasamaH+aDaraH
kuRqanABiM puraskftya,kuRqanABim+puraskftya
kuRqamIkzet,kuRqam+Ikzet
kuRqalA'saMyukte,kuRqala+asaMyukte
kuRqAkArAstu,kuRqAkArAH+tu
kuRqAnAntu,kuRqAnAm+tu
kuRqAntikaM tataH,kuRqAntikam+tataH
kuRqAntikaM vratI,kuRqAntikam+vratI
kuRqinanagarameva,kuRqinanagaram+eva
kuRqezvabjAni,kuRqezu+abjAni
kuRqyakzamAlikaH,kuRqI+akzamAlikaH
kuRqyakzamAlI,kuRqI+akzamAlI
kuRWAM taTA,kuRWAm+taTA
kuRWAlokayati,kuRWA+Alokayati
kuRWeti,kuRWA+iti
kuta AyAtaH,kutaH+AyAtaH
kuta Aryasya,kutaH+Aryasya
kuta upalabDaM,kutaH+upalabDaM
kutaScid ekaM,kutaScit+ekaM
kutaScid buDanAmAcAryAH,kutaScit+buDanAmAcAryAH
kutastatsAmagrItvena,kutaH+tatsAmagrItvena
kutastadavacCinnasya,kutaH+tadavacCinnasya
kutastadvizayABedAropaH,kutaH+tadvizayABedAropaH
kutastava,kutaH+tava
kutastasya,kutaH+tasya
kutastvayA,kutaH+tvayA
kutuhalam tadeva,kutuhalam+tadEva
kutUhalaM vartate,kutUhalam+vartate
kutUhalamutpannam,kutUhalam+utpannam
kutUhalavaSAtpfzwam,kutUhalavaSAt+pfzwam
kuto nAsti,kutaH+nAsti
kuto BavAn,kutaH+BavAn
kuto mayi,kutaH+mayi
kuto mahyaM,kutaH+mahyaM
kuto muktasya,kutaH+muktasya
kuto rAjadarSanam,kutaH+rAjadarSanam
kuto vfttitvarUpatadviSezapratyASeti,kutaH+vfttitvarUpatadviSezapratyASeti
kuto vyatirekavyAptidvayagrahapuraskAreRa,kutaH+vyatirekavyAptidvayagrahapuraskAreRa
kuto'nuvAdakatatsamboDyamAnaprasaNgaH,kutaH+anuvAdakatatsamboDyamAnaprasaNgaH
kuto'pyAgatena,kuto'pi+Agatena
kuto'pyupasTitaH,kuto'pi+upasTitaH
kuto'Bavizyatam,kutaH+aBavizyatam
kuto'Bavizyat,kutaH+aBavizyat
kuto'Bavizyan,kutaH+aBavizyan
kuto'vasIyate,kutaH+avasIyate
kutragato jIvadAsaH,kutragataH+jIvadAsaH
kutracanADiSAsI,kutracana+aDiSAsI
kutracanApi,kutracana+api
kutracitdfSyate,kutracit+dfSyate
kutracidavakASa,kutracit+avakASa
kutracidAyojitasya,kutracit+Ayojitasya
kutraciditastato,kutracit+itastata
kutracid prezayituM,kutracit+prezayituM
kutracid yantrapIlanAdyEH,kutracit+yantrapIlanAdyEH
kutracid vfkzaSAKAyAM,kutracit+vfkzaSAKAyAM
kutracinirJaraddAnavArayo,kutracit+nirJaraddAnavArayaH
kutracinniragAt,kutracit+niragAt
kutratyA'si,kutratyA+asi
kutrAjjukA,kutra+ajjukA
kutrApyekavAkyatABaNgaiti,kutrApi+ekavAkyatABaNgaiti
kutrApyagam,kutrApi+agamat
kutrApyupalabDena,kutrApi+upalabDena
kutrA'Nge,kutra+aNge
kutropayujyate,kutra+upayujyate
kutsAyA gavAdinA,kutsAyAH+gavAdinA
kutsitavarRo mayA,kutsitavarRaH+mayA
kudfzweSca,kudfzweH+ca
kuddAlAdyaM prapUjayet,kuddAlAdyam+prapUjayet
kuddAlenABiziktena,kuddAlena+aBiziktena
kuDiyo nahi,kuDiyaH+nahi
kuntIsuto vA,kuntIsutaH+vA
kuntyAM hi,kuntyAm+hi
kundurukastilAH,kundurukaH+tilAH
kupato dozaH,kupataH+dozaH
kupaTAd rakzitavAn,kupaTAt+rakzitavAn
kupita AsIt,kupitaH+AsIt
kupitatvAditi,kupitatvAt+iti
kupitaSca,kupitaH+ca
kupitA aBavan,kupitAH+aBavan
kupitA malAH,kupitAH+malAH
kupitAstena,kupitAH+tena
kupito BUtvA,kupitaH+BUtvA
kupito mahArAjaH,kupitaH+mahArAjaH
kupito mA,kupitaH+mA
kuputrAvAstAm,kuputrO+AstAm
kuputro jAyeta,kuputraH+jAyeta
kupuruzasyeva,kupuruzasya+iva
kuberasyeva,kuberasya+eva
kuberAcca,kuberAt+ca
kubjatA'payAti,kubjatA+apayAti
kubjatvavihInamAste,kubjatvavihInam+Aste
kubjaSaktimataM parizkftya,kubjaSaktimatam+parizkftya
kubjasyAnumArjanena,kubjasya+anumArjanena
kubjikAM dfzwvA,kubjikAm+dfzwvA
kumarasiMhaSca,kumarasiMhaH+ca
kumarasiMhaScandrahAsaM,kumarasiMhaH+candrahAsaM
kumarasiMhastasya,kumarasiMhaH+tasya
kumarasiMhastu,kumarasiMhaH+tu
kumarasiMhastezu,kumarasiMhaH+tezu
kumarasiMhasyAneke,kumarasiMhasya+aneke
kumarasiMhasyAmarasiMhasya,kumarasiMhasya+amarasiMhasya
kumarasiMhasyASraye,kumarasiMhasya+ASraye
kumarasiMhasyASvasenA,kumarasiMhasya+aSvasenA
kumarasiMhasyAsya,kumarasiMhasya+asya
kumarasiMhasyEva,kumarasiMhasya+eva
kumarasiMhAdfte,kumarasiMhAt+fte
kumarasiMho kiM,kumarasiMhaH+kiM
kumarasiMho gaNgAyAH,kumarasiMhaH+gaNgAyAH
kumarasiMho Braman,kumarasiMhaH+Braman
kumarasiMho mahAn,kumarasiMhaH+mahAn
kumarasiMho yudDe,kumarasiMhaH+yudDe
kumarasiMho vartate,kumarasiMhaH+vartate
kumarasiMho vijayate,kumarasiMhaH+vijayate
kumarasiMho vidrohI,kumarasiMhaH+vidrohI
kumarasiMho zaqyantraM,kumarasiMhaH+zaqyantraM
kumarasiMho'tIva,kumarasiMhaH+atIva
kumarasiMho'pi,kumarasiMhaH+api
kumarasiMho'sti,kumarasiMhaH+asti
kumarasiMho'sya,kumarasiMhaH+asya
kumareRAkalpitaM,kumareRa+AkalpitaM
kumArakowiSca,kumArakowiH+ca
kumArapAdamUlameva,kumArapAdamUlam+eva
kumArasadfSo Bavizyati,kumArasadfSaH+Bavizyati
kumArasyANgadasya,kumArasya+aNgadasya
kumArAvupetya,kumArO+upetya
kumArikAyAScaraRaM,kumArikAyAH+caraRaM
kumAro balena,kumAraH+balena
kumAro'yaM,kumAraH+ayaM
kumArgamavatatAra,kumArgam+avatatAra
kumitrasaMsargAnnu,kumitrasaMsargAt+nu
kumitrasaNgo mayA,kumitrasaNgaH+mayA
kumudAkzaSca,kumudAkzaH+ca
kumudAdeSca,kumudAdeH+ca
kumudAdyA Gawadvayam,kumudAdyAH+Gawadvayam
kumBaM vAsoyugasamanvitam,kumBam+vAsoyugasamanvitam
kumBakaM SamBO,kumBakam+SamBO
kumBakamAsTAya,kumBakam+AsTAya
kumBakarRaYca,kumBakarRam+ca
kumBakarRo nAma,kumBakarRaH+nAma
kumBakarRo mamardda,kumBakarRaH+mamardda
kumBakarRo mamAra,kumBakarRaH+mamAra
kumBagaM prArccya,kumBagam+prArccya
kumBajalaM kzipet,kumBajalam+kzipet
kumBadvayaYca,kumBadvayam+ca
kumBarUpamityatra,kumBarUpam+ityatra
kumBavalayamAruhya,kumBavalayam+Aruhya
kumBasamIpapippalyardDAdAviti,kumBasamIpapippalyardDAdO+iti
kumBasamIpapippalyardDAdinetyarTaH,kumBasamIpapippalyardDAdina+ityarTaH
kumBasamIpamiti,kumBasamIpam+iti
kumBasamIpamitiboDe,kumBasamIpam+itiboDe
kumBasamIpavfttIti,kumBasamIpavftti+iti
kumBasamIpavfttIti,kumBasamIpavfttiH+iti
kumBasyAgrABigAminIm,kumBasya+agrABigAminIm
kumBAMstAmramayAn,kumBAn+tAmramayAn
kumBAdBiryajamAnAdi,kumBAdBiH+yajamAnAdi
kumBAnazwO,kumBAn+azwO
kumBAnISAdikAzWAsu,kumBAn+ISAdikAzWAsu
kumBAnna,kumBAt+na
kumBAnmaRqape,kumBAn+maRqape
kumBenABizecayet,kumBena+aBizecayet
kumBezvanantAdIn,kumBezu+anantAdIn
kumBezvAvAhya,kumBezu+AvAhya
kumBe'nale,kumBe+anale
kumBe'smin,kumBe+asmin
kumBEstoyasupUritEH,kumBEH+toyasupUritEH
kuravastaTA,kuravaH+taTA
kurukzetraM gamizyAmi,kurukzetram+gamizyAmi
kurukzetraM yayO,kurukzetram+yayO
kurutastadA,kurutaH+tadA
kurutastAvat,kurutaH+tAvat
kurutastu,kurutaH+tu
kurute'tyupayogena,kurute+atyupayogena
kurute'DunA,kurute+aDunA
kurute'nilaH,kurute+anilaH
kuruvaMSavanaM vinazwam,kuruvaMSavanam+vinazwam
kuruvindASca,kuruvindAH+ca
kuruzvapi,kuruzu+api
kuruzvANgirasaH,kuruzva+aNgirasaH
kuruzvAdya,kuruzva+adya
kurUMstu,kurUn+tu
kurUpakuzWABiBUtatvAjjavanikAntare,kurUpakuzWABiBUtatvAt+javanikAntare
kurUpakuzWitvAdayo dozAH,kurUpakuzWitvAdayaH+dozAH
kurUpatvasurUpatvAdisvarUpamiti,kurUpatvasurUpatvAdisvarUpam+iti
kurUpAdvinA,kurUpAt+vinA
kurUpAyASca,kurUpAyAH+ca
kurUpASca,kurUpAH+ca
kurUpo rUpavAn,kurUpaH+rUpavAn
kurma iti,kurmaH+iti
kuryAM vE,kuryAm+vE
kuryAccikitsAM,kuryAt+cikitsAM
kuryAcCivena,kuryAt+Sivena
kuryAcCETilyaM,kuryAt+SETilyaM
kuryAtkzutihAsyavijfmBaRam,kuryAt+kzutihAsyavijfmBaRam
kuryAttaM,kuryAt+taM
kuryAttatsaMjYakAni,kuryAt+tatsaMjYakAni
kuryAttadOzaDaviBAgataH,kuryAt+tadOzaDaviBAgataH
kuryAttarhi,kuryAt+tarhi
kuryAttu,kuryAt+tu
kuryAtprayojanArTamarTitve,kuryAtprayojanArTam+arTitve
kuryAtsaMSodanaM,kuryAt+saMSodanaM
kuryAtsarvatra,kuryAt+sarvatra
kuryAttraBAgakam,kuryAt+triBAgakam
kuryAdaNgAnAM,kuryAt+aNgAnAM
kuryAdaNguliSastrakam,kuryAt+aNguliSastrakam
kuryAdatandraH,kuryAt+atandraH
kuryAdaBizecanam,kuryAt+aBizecanam
kuryAdasO,kuryAt+asO
kuryAdAcUzaRAya,kuryAt+AcUzaRAya
kuryAditi,kuryAt+iti
kuryAdISaniveSanam,kuryAt+ISaniveSanam
kuryAdISe,kuryAt+ISe
kuryAdupakramam,kuryAt+upakramam
kuryAdeva,kuryAt+eva
kuryAd vfdDaH,kuryAt+vfdDaH
kuryAdBUmiparigraham,kuryAt+BUmiparigraham
kuryAdyatnaM,kuryAt+yatnaM
kuryAdvicakzaRaH,kuryAt+vicakzaRaH
kuryAdvidyayA,kuryAt+vidyayA
kuryAdvirekaM,kuryAt+virekaM
kuryAdvE,kuryAt+vE
kuryAnna,kuryAt+na
kuryAnnirmaYjanAdikam,kuryAt+nirmaYjanAdikam
kuryAnnEmittike,kuryAt+nEmittike
kuryAmiti,kuryAmi+iti
kuryAmiti,kuryAm+iti
kuryuriti,kuryuH+iti
kuryurnnijakuRqezu,kuryuH+nijakuRqezu
