yasmAjjAyate,yasmAt+jAyate
tAdfSavizayayorviroDaH,tAdfSavizayayoH+viroDaH
vilakzaRavizayatAsattve,vacCedakaprakArakanirRayottara+utpannajYAnasya
,atra+AhuH
tAdfSavizayatAniveSA dvyAptyaMSe,parAmarSAdijanakatAyAm+tAdfSavizayatAniveSA
nirRayatvaM,dvyApti+aMSe
na niveSyata,nirRayatvam+na
prasidDyA,saMSayAtmakaviSizwavESizwyaboDasya+api
lAGavasaMBavA,nirRayatva+aniveSena
SrIrastu,SrIH+astu
tadviSizwa,tat+viSizwa
vESizwyAvagAhi,vESizwya+avagAhi
budDitvAvacCinnaM prati,budDitvAvacCinnam+prati
vahnivyApyaDUmavAnparvata,vahnivyApyaDUmavAn+parvata
ityAkAraka,iti+AkAraka
hetutAmAdAya,hetutAm+AdAya
vahnivyApyaDUmavatparvatavAn,vahnivyApyaDUmavat+parvatavAn
ityAdi,iti+Adi
ativyAptimudBAvayate,ativyAptim+udBAvayate
dIDitikfttestaTAviDa,dIDitikftteH+taTAviDa
hetutAmAdAya,hetutAm+AdAya
vESizwyamiti,vESizwyam+iti
ativyApteranudBAvane,ativyApteH+anudBAvane
nEva,na+eva
vESizwyamiti,vESizwyam+iti
viSezyatAvacCedakavadBfttitva,viSezyatAvacCedakavat+vfttitva
vESizwyamati,vESizwyam+iti
viSezyatAnirUpitAnya,viSezyatAnirUpita+anya
ekatradvayamiti,ekatradvayam+iti
vaditi,vat+iti
vESezikanumAne,vESezika+anumAne
saMsargaBedepi,saMsargaBede+api
pUrvoktarItyA,pUrva+uktarItyA
ekasaMbaMDasyEvaBAnena,ekasaMbaMDasya+evaBAnena
viSizwavESizwyamiti,viSizwavESizwyam+iti
vacCedakaprakArakanirRayoreka,vacCedakaprakArakanirRayoH+eka
duHsamADyeyeti,duHsamADyeya+iti
kiM na,kim+na
BAvAnavaboDapUrvakAnuyogena,BAvAnavaboDapUrvaka+anuyogena
vESizwayamiti,vESizwayam+iti
viSezaRatAvacCedakAvacCinnanirUpitatva,viSezaRatAvacCedaka+avacCinnanirUpitatvaviSizwa
tattvamiti,tattvam+iti
tAdfSavizayatayostattadDarmAvacCinna,tAdfSavizayatayoH+tattadDarmAvacCinna
vizayatAtvenAnugamena,vizayatAtvena+anugamena
saMBavaduktikamiti,saMBavaduktikam+iti
SaMkAspadamiti,SaMkAspadam+iti
nirupitatvanizWAbacCedakatAnirupita,nirupitatvanizWa+abacCedakatAnirupita
tatvAditi,tatvAt+iti
BramAtmakaviSizwavESizwyaboDo yatra,BramAtmakaviSizwavESizwyaboDaH+yatra
tatrApi,tatra+api
nAnupapattiH,na+anupapattiH
tatrApi,tatra+api
SAbdAKya,SAbda+AKya
tatkAraRatayA,tat+kAraRatayA
pramARanIti,pramARani+iti
SabdapadaM SabdajYAnaparam,Sabdapadam+SabdajYAnaparam
SabdAnusaMDAnAdapi,SabdAnusaMDAnAt+api
SAbdatvAvacCinnaM prati,SAbdatvAvacCinnam+prati
varRatvaM ca,varRatvam+ca
SabdanizWo jAtiviSezaH,SabdanizWaH+jAtiviSezaH
nirAkANkzAdiSabdajYAnAnna,nirAkANkzAdiSabdajYAnAt+na
DarmAvacCinnApattiH,DarmAvacCinna+ApattiH
tattadarTavizayaka,tat+tadarTavizayaka
padanirUpitaparasparAkAMkzA,padanirUpitaparaspara+AkAMkzA
jYAnAdirUpAyASca,jYAnAdirUpAyAH+ca
kftaM sAmAnyakAraRatayA,kftam+sAmAnyakAraRatayA
SAbdatvaniveSasyAvaSyakatayEva,SAbdatvaniveSasya+AvaSyakatayEva
cenna,cet+na
prayojakatvApekzayA,prayojakatva+apekzayA
SabdajYAnatvAcCinnABAvasya,SabdajYAnatvAcCinna+aBAvasya
varRajYAnatvAvacCinnABAvasya,varRajYAnatvAvacCinna+aBAvasya
IdfSalAGavAnuroDena,IdfSalAGava+anuroDena
kAraRatvAsidDO,kAraRatva+asidDO
kadAcideva,kadAcic+eva
smftisvargAdikAryamutpAdyate,smftisvargAdikAryam+utpAdyate
ityetAdfSaniyama,iti+etAdfSaniyama
kAlavivezARAM ca,kAlaviSezARAm+ca
bADakaM vinA,bADakam+vinA
pravAdopi,pravAdaH+api
hetutAkalpanamucitam,hetutAkalpanam+ucitam
tatkAlIna,tat+kAlIna
SAbdasAmAnyAnutpAde,SAbdasAmAnya+anutpAde
viSezasAmagryaBAvAnAM prayojakatvakalpane,viSezasAmagryaBAvAnAm+prayojakatvakalpane
nirarTakatvameva,nirarTakatvam+eva
ekAkzarakoSe,eka+akzarakoSe
sakalavarRAnAmeva,sakalavarRAnAm+eva
eveti,eva+iti
noktagOravAvakASa,na+uktagOravAvakASa
vAcyaM,vAcyam+
vAstavaSaktimaCAbdajYAnatvAdi,vAstavaSaktimat+SAbdajYAnatvAdi
rUpapadajYAnatvAvacCinnABAvasya,rUpapadajYAnatvAvacCinna+aBAvasya
varRajYAnatvAvacCinnABAvaniyatvepi,varRajYAnatvAvacCinna+aBAvaniyatvepi
vacCinnABAvasya,vacCinna+aBAvasya
taTAtvAttena,taTAtvAt+tena
lAGavasyAnapAyAt,lAGavasya+anapAyAt
prAkAlAlepi,prAkAlAle+api
sarvalAkzaRikasTalenvaya,sarvalAkzaRikasTale+anvaya
prAcInEraByupagamAt,prAcInEH+aByupagamAt
nirUktapadajYAnatvenEva,nirUktapadajYAnatvena+eva
nirakAMkzAdGawaH,nirakAMkzAt+GawaH
karmatvAnayanakftyAdizu,karmatva+AnayanakftyAdizu
SAbdaboDahetutvaM svIkriyate,SAbdaboDahetutvam+svIkriyate
tadrUpAvacCinnapadavizayakopasTiti,tadrUpAvacCinnapadavizayaka+upasTiti
karmatvAdiviSezyakADeyatAsaMsargaka,karmatvAdiviSezyaka+ADeyatAsaMsargaka
GawAdiprakAratAkAnvayaboDe,GawAdiprakAratAka+anvayaboDe
nirUpitAkAMkzA,nirUpita+AkAMkzA
tAdfSAnvayaboDe,tAdfSa+anvayaboDe
kAraRABAvamudrayA,kAraRa+aBAvamudrayA
prayojyaprayojakaBAvaSca,prayojyaprayojakaBAvaH+ca
kAryakAraRABAvayoH,kAryakAraRa+aBAvayoH
tadGawamAnaBAvaH,tat+GawamAnaBAvaH
paMcamyarTasyAnyasya,paMcamyarTasya+anyasya
tAdfSAnvayaboDahetutAyA,tAdfSa+anvayaboDahetutAyA
boDABAvaprayojaka,boDa+aBAvaprayojaka
nyAkAMkzA,boDa+upayoginyAkAMkzA
putro rAjYaH,putraH+rAjYaH
ityAdi,iti+Adi
padopasTitInAM hetutAyA,padopasTitInAm+hetutAyA
putrAdipadArTAnvitasvArTa,putra+AdipadArTAnvitasvArTa
parasparaM sAkAMkzatAvAraRAya,parasparam+sAkAMkzatAvAraRAya
samaBivyAhftatvamapi,samaBivyAhftatvam+api
tatpada,tat+pada
samaBivyavahAraSca,samaBivyavahAraH+ca
pratItijanakatvaprakArakecCA,pratItijanakatvaprakAraka+icCA
tatkAlInatva,tat+kAlInatva
tatpurUzIyatve,tat+puruzIyatve
ato na,ataH+na
janitAnvayaboDa,janita+anvayaboDa
tAdfSAyAmatiprasaMgaH,tAdfSAyAm+atiprasaMgaH
tattadrUpAvacCinna,tattat+rUpAvacCinna
pravftAnvayaboDe,pravftA+anvayaboDe
tattadrUpA,tattat+rUpA
vacCinnapadayorAkAMkzA,vacCinnapadayoH+AkAMkzA
itTaM ca,itTam+ca
tattatkAlInatvA,tattat+kAlInatvA
praveSepi,praveSe+api
iyamAkAMkzA,iyam+AkAMkzA
ayamiti,ayam+iti
putro rAjYaH,putraH+rAjYaH
rAjasaMbaMDaboDAnupapatteH,rAjasaMbaMDaboDa+anupapatteH
evaM GawaH,evam+GawaH
nApi,na+api
jYAnaM hetuH,jYAnam+hetuH
viSezyakADeyatAsaMsargakaGawa,viSezyaka+ADeyatAsaMsargakaGawa
pratiyogItyetAdfSaSramAdGawa,pratiyogItyetAdfSaSramAt+Gawa
padajYAnABAvAtkarmatva,padajYAnABAvAt+karmatva
padajYAnABAvAcca,padajYAnABAvAt+ca
padajYAnavyatirekAmUpada,padajYAnavyatireka+amUpada
taTAviDAnvayaboDahetutA,taTAviDa+anvayaboDahetutA
tAdfSAnvaya,tAdfSa+anvaya
prakArakArajYAnasyapravfttAnvaya,prakArakArajYAnasyapravftta+anvaya
boDABAvaviSezaka,boDa+aBAvaviSezaka
karmatvapadatvAdyavacCinna,karmatvapadatvAdi+avacCinna
tAdfSAnvayaboDe,tAdfSa+anvayaboDe
lAGavAdGawapadatva,lAGavAt+Gawapadatva
prakArakajYAnatvAmU,prakArakajYAnatva+amU
jYAnatvAdinEva,jYAnatvAdina+eva
hetutAstu,hetutA+astu
darSitAnvayaboDavAraRasaMBavAt,darSita+anvayaboDavAraRasaMBavAt
nirUktagurUSarIrAkAMkzA,nirUktagurUSarIra+AkAMkzA
karmatvAdiviSezyakADeyatAdi,karmatvAdiviSezyaka+ADeyatAdi
GawapadajYAnatvAmUpada,GawapadajYAnatva+amUpada
lAGavamiti,lAGavam+iti
taTAsatyamUpadaviSezyakasya,taTAsati+amUpadaviSezyakasya
pawapadAkAMkzAdiprakArakajYAnasya,pawapada+AkAMkzAdiprakArakajYAnasya
GawapadaviSezyakasyAmUpada,GawapadaviSezyakasya+amUpada
kAraRatAdvayasyAvaSyakatvAt,kAraRatAdvayasya+AvaSyakatvAt
dvitIyakalpepi,dvitIyakalpe+api
prakArakatvAmUpadajYAnavyatireka,prakArakatva+amUpadajYAnavyatireka
kAraRatAvacCedakayormiToviSezyaviSezaRaBAve,kAraRatAvacCedakayoH+miToviSezyaviSezaRaBAve
kAraRatAbuDerAvaSyakatvAt,kAraRatAbuDeH+AvaSyakatvAt
karmatvAdiviSezyakADeyatvAdi,karmatvAdiviSezyaka+ADeyatvAdi
saMsargakaGawAdiprakArakaboDemUpadatvaprakArakajYAnatvena,saMsargakaGawAdiprakArakaboDe+amUpadatvaprakArakajYAnatvena
hetutvaM kalpayitvA,hetutvam+kalpayitvA
tattatpadayoH,tattat+padayoH
boDAnudayAtsamaBivyAhAra,boDAnudayAt+samaBivyAhAra
GawitanirUktAkAMkzA,GawitanirUkta+AkAMkzA
lAGavAttatatpadArTAnvaye,lAGavAttatat+padArTAnvaye
tattatpada,tattat+pada
samaBivyAhArajYAnatvenEva,samaBivyAhArajYAnatvena+eva
hetutvakalpanamucitam,hetutvakalpanam+ucitam
sidDeriva,sidDeH+iva
pratibanDakatopagamAt,pratibanDakata+upagamAt
nirUktAkAMkzAjYAnasya,nirUkta+AkAMkzAjYAnasya
hetutvepi,hetutve+api
jAtepi,jAte+api
tadaBAvaGawitAkAMkzAjYAnasaMBavena,tadaBAvaGawita+AkAMkzAjYAnasaMBavena
tattatpadajYAnavyatireka,tattat+padajYAnavyatireka
jYAnasyEva,jYAnasya+eva
hetutvaM vAcyam,hetutvam+vAcyam
tAdfSaM ca,tAdfSam+ca
SAbdAditopi,SAbdAditaH+api
pratiyogino viparItajYAnaviroDitvAdi,pratiyoginaH+viparItajYAnaviroDitvAdi
tattatpurUza,tattat+puruza
BavABAvavattAjYAnatvenEva,BavABAvavattAjYAnatvena+eva
BAvasyAtmanizWa,BAvasya+AtmanizWa
BedABAvAt,Beda+aBAvAt
samavAyasaMbaMDenAnvaya,samavAyasaMbaMDena+anvaya
pratyAsatyEva,pratyAsatya+eva
kalpanIyamiti,kalpanIyam+iti
viSezyatAviSizwasamavAyasyApi,viSezyatAviSizwasamavAyasya+api
pratyAsattitAmAdAya,pratyAsattitAm+AdAya
anvayAnuBava,anvayA+anuBava
daSAyAM na,daSAyAm+na
nAtiprasaMga,na+atiprasaMga
viSizwatvaniveSamAdAya,viSizwatvaniveSam+AdAya
evaM yatra,evam+yatra
padajYAnAnvayAnu,padajYAnAnvaya+anu
tatrApi,tatra+api
SAbdaboDasyAnu,SAbdaboDasya+anu
nirUktAkAMkzAjYAnaM sAkAMkzatvavyavahAra,nirUktAkAMkzAjYAnam+sAkAMkzatvavyavahAra
evopayujyate,eva+upayujyate
BavABAvaSca,BavABAvaH+ca
hetutAyAM mAnABAvaH,hetutAyAm+mAnABAvaH
putro rAjYaH,putraH+rAjYaH
purUzopasAryatAmityAdO,purUzopasAryatAm+ityAdO
rAjasaMbaMDapurUzayornadI,rAjasaMbaMDapurUzayoH+nadI
jYAnarUpakAraRavilaMbAdeva,jYAnarUpakAraRavilaMbAt+eva
tAtparyajYAnaM hi,tAtparyajYAnam+hi
ekEkapadArTa,eka+ekapadArTa
evaM ca,evam+ca
putreREva,putreRa+eva
eveti,eva+iti
rAjaparuzapadArTayoranvayaboDe,rAjaparuzapadArTayoH+anvayaboDe
puruzapadopasTApitArTAnvitasvArTa,puruzapadopasTApita+arTAnvitasvArTa
rAjAdyekEkapadArTa,rAjAdi+ekEkapadArTa
puruzAdyaparasahasra,puruzAdi+aparasahasra
arTatAtparyajYAnakAraRatvAMtarasya,arTatAtparyajYAnakAraRatva+aMtarasya
tAtparyajYAnasyEva,tAtparyajYAnasya+eva
yato viSizyapadArTadvaya,yataH+viSizyapadArTadvaya
hetutvopagame,hetutva+upagame
BAvyapuruzAdirupasahasrArTa,BAvyapuruzAdirupasahasra+arTa
kAraRatAnAM kalpanIyatayA,kAraRatAnAm+kalpanIyatayA
rAjapadaDarmikasyEkatAtparyajYAnasya,rAjapadaDarmikasya+ekatAtparyajYAnasya
asmAkaM tu,asmAkam+tu
tatDarmikArya,tat+DarmikArya
viSizyapadArTAntarBAvena,viSizyapadArTa+antarBAvena
kAraRatAsahasrakalpanIyamiti,kAraRatAsahasrakalpanIyam+iti
sPuwataramiti,sPuwataram+iti
BAvarupAkAMkzAGawakaBAgadvayasya,BAvarupa+AkAMkzAGawakaBAgadvayasya
SAbdaboDahetutvaM vicArasaham,SAbdaboDahetutvam+vicArasaham
tadvizayakaSAbdatvAvacCinnaM prati,tadvizayakaSAbdatvAvacCinnam+prati
lavaRAdirupEkArTa,lavaRAdirupa+ekArTa
GowakAdirUpArTAMtara,GowakAdirUpArTa+aMtara
GawakarmakAnayanAdirUpamahAvAkyArTa,Gawakarmaka+AnayanAdirUpamahAvAkyArTa
boDAnudayaprasaMgAcca,boDAnudayaprasaMgAt+ca
pratibanDakatvAnna,pratibanDakatvAt+na
evaM sati,evam+sati
janitAnvaya,janita+anvaya
boDakapadAnusaMDAnAdanu,boDakapadAnusaMDAnAt+anu
vinEva,vina+eva
SAbdasAmAnyApatteH,SAbdasAmAnya+ApatteH
janyaSAbdaboDABAvarUpa,janyaSAbdaboDa+aBAvarUpa
tattadarTavizayaka,tattat+arTavizayaka
SAbdaboDatvAvacCinnaM prati,SAbdaboDatvAvacCinnam+prati
sAmAnyatastadarTa,sAmAnyataH+tadarTa
vizayakaSAbdatvenEva,vizayakaSAbdatvena+eva
vAkyArTaboDAnaMtaramanupapattiH,vAkyArTaboDAnaMtaram+anupapattiH
ato na,ataH+na
gOravAdayamiti,gOravAdayam+iti
putro rAjYaH,putraH+rAjYaH
rAjapurUzAnvaya,rAjapurUza+anvaya
jYAnABAvAttaTAviDa,jYAnABAvAt+taTAviDa
samaBivyAhArajYAnaBAvAdena,samaBivyAhArajYAnaBAvAt+ena
taduttaramapi,taduttaram+api
tAdfSAnvaya,tAdfSa+anvaya
pratyanvaya,prati+anvaya
pUrvAnvayaboDasya,pUrva+anvayaboDasya
tAdfSapadArTopasTitikAle,tAdfSapadArTa+upasTitikAle
punastAdfSaboDastvizyata,punaH+tAdfSaboDastvizyata
eveti,eva+iti
cenna,cet+na
anvayAnuBavasya,anvaya+anuBavasya
SAbdaboDavyakteranaMtarakzaRe,SAbdaboDavyakteH+anaMtarakzaRe
tattadvyaktiprAgaBAvasya,tattat+vyaktiprAgaBAvasya
sAmAnyasAmagrIvirahAdeva,sAmAnyasAmagrIvirahAt+eva
tAdfSApattivAraRa,tAdfSa+ApattivAraRa
anvayAnuBavasya,anvaya+anuBavasya
pratibanDakatAkalpanamAvaSyakam,pratibanDakatAkalpanam+AvaSyakam
taCAbdaboDavyaktO,tat+SAbdaboDavyaktO
tajjanakapadArTopisTitijanakapadajYAnavyakte,tajjanakapadArTa+upisTitijanakapadajYAnavyakte
vinASAnna,vinASAt+na
tattatdvayakanyApAdanasaMBava,tattat+dvayakanyApAdanasaMBava
tajjanyapadarTopa,tajjanyapadarTa+upa
sTitisatvenApattisaMBavAt,sTitisatvena+ApattisaMBavAt
karmatvatvAdyavacCinna,karmatvatvAdi+avacCinna
viSezyakaGawatvAdyavacCinna,viSezyakaGawatvAdi+avacCinna
karmatvAdyavacCinnamuKyaviSezyaka,karmatvAdi+avacCinnamuKyaviSezyaka
GawatvAdyavacCinna,GawatvAdi+avacCinna
prakArakaSAbdatvameva,prakArakaSAbdatvam+eva
pratibaDyatAvacCedakaM vAcyam,pratibaDyatAvacCedakam+vAcyam
ato GawakarmatvAdirUpaKaMqa,ataH+GawakarmatvAdirUpaKaMqa
vAkyArTaboDAnantaraM GawakarmakAnayanAdirUpa,vAkyArTaboDAnantaram+GawakarmakAnayanAdirUpa
nAnupapattiH,na+anupapattiH
GawatvAdyavacCinnaviSazyaka,GawatvAdi+avacCinnaviSezyaka
GawatvAdyavacCinna,GawatvAdi+avacCinna
Gawo nIla,GawaH+nIla
vAkyArTajYAnapUrvakanIlo GawaH,vAkyArTajYAnapUrvakanIlaH+GawaH
prATamikavyakterdvitIyakzaRe,prATamikavyakteH+dvitIyakzaRe
vAraRAyAgatyA,vAraRAya+agatyA
tadapyasat,tadapi+asat
padArTadvayavizayakasyEva,padArTadvayavizayakasya+eva
SAbdaboDahetutvamAvaSyakam,SAbdaboDahetutvam+AvaSyakam
rAjYonvayaboDe,rAjYaH+anvayaboDe
puruzasyAnvayaboDe,puruzasya+anvayaboDe
vaktustAtparyam,vaktuH+tAtparyam
rAjapuruzayoranvayaboDe,rAjapuruzayoH+anvayaboDe
ityetAdfSa,iti+etAdfSa
tAtparyajYAnayoSca,tAtparyajYAnayoH+ca
cEkavAkyatABiprAya,ca+ekavAkyatABiprAya
mAnABAvAduktasTale,mAnABAvAt+uktasTale
rAjapadaM puruzapadasahakAreRa,rAjapadam+puruzapadasahakAreRa
BavatvityAkArakasamaBivyAhArasaMSayaH,Bavatviti+AkArakasamaBivyAhArasaMSayaH
tadvayatirekaniScayo vA,tadvyatirekaniScayaH+vA
rAjapuruzaboDApattivAraRAya,rAjapuruzaboDa+ApattivAraRAya
taTAviDasaMSayAdisatvepi,taTAviDasaMSayAdisatve+api
tAdfSaSAbdaboDasyezwatvAt,tAdfSaSAbdaboDasya+izwatvAt
rAjapadaM puruzasahakAreRa,rAjapadam+puruzasahakAreRa
tadvyakteH,tat+vyakteH
puranutpAdasyApAdaka,puranutpAdasya+ApAdaka
kAryotpAdapyApyatApIti,kAryotpAdapyApyatApi+iti
viSizwAkAMkzA,viSizwa+AkAMkzA
rUpAnu,rUpa+Anu
ato GawaH,ataH+GawaH
vfttirityAdO,vfttiH+ityAdO
avyavaDAnapraveSAdGawasya,avyavaDAnapraveSAt+Gawasya
paSyetyAdO,paSya+ityAdO
GawAdipadasAkAMkzatAnupapattyakarmatvAdO,GawAdipadasAkAMkzatA+anupapattyakarmatvAdO
viDAnvayaboDatve,viDa+anvayaboDatve
miTovyaBicArasyAgrevAraRIyatvAt,miTovyaBicArasya+agrevAraRIyatvAt
GawakaM vAcyam,Gawakam+vAcyam
tAdfSaviSizwABAvAtmakavyavaDAnamakzatameveti,tAdfSaviSizwABAvAtmakavyavaDAnamakzatam+eveti
pratyatvAnupasTitidaSAyAM tAdfSavyavaDAnasya,pratyatvAnupasTitidaSAyAm+tAdfSavyavaDAnasya
SAbdaboDAnupapatteH,SAbdaboDa+anupapatteH
yAvatpratyayasADAraRa,yAvat+pratyayasADAraRa
durvacatvAcca,durvacatvAt+ca
dvaMdvasTalAnuroDena,dvaMdvasTala+anuroDena
GawapadAvyavahitottararUpAdi,GawapadA+avyavahitottararUpAdi
GawarUpamityAdi,GawarUpam+ityAdi
GawAdyanvayaboDaprasaNga,GawAdi+anvayaboDaprasaNga
cenna,cet+na
tatpuruzasTale,tat+puruzasTale
viBaktapadArTaviSizwaparatayoktasTale,viBaktapadArTaviSizwaparataya+uktasTale
GawaparatvABAve,Gawaparatva+aBAve
GawapadanvayApattivirahAt,Gawapadanvaya+ApattivirahAt
GawasaMbaMDitvAvacCinnasyEva,GawasaMbaMDitvAvacCinnasya+eva
karmatvAnvayaboDaprasaNgaH,karmatva+anvayaboDaprasaNgaH
tatpuruzasTale,tat+puruzasTale
tAdfSAnvayaboDe,tAdfSa+anvayaboDe
tAtparyaviraheREva,tAtparyaviraheRa+eva
rUpAMSe,rUpa+aMSe
karmatvAMSe,karmatva+aMSe
viSezaRatAyAnvayaboDe,viSezaRatAyA+anvayaboDe
tAtparyeREva,tAtparyeRa+eva
GawarUpamityAdyAnupUrvajYAnajanya,GawarUpamityAdi+AnupUrvajYAnajanya
svArTAnvayaboDaparatvagrahasya,svArTa+anvayaboDaparatvagrahasya
pratibaMDakatvaM vAcyam,pratibaMDakatvam+vAcyam
GawapadaM viSezaRatayA,Gawapadam+viSezaRatayA
viSezaRaM deyam,viSezaRam+deyam
kiM vA,kim+vA
tAdfSasvArTaparatvagrahABAvasya,tAdfSasvArTaparatvagraha+aBAvasya
tarAMnvitasvArTaparatvagrahastatra,tarAMnvitasvArTaparatvagrahaH+tatra
tAdfSaboDasyAnuBAvikatve,tAdfSaboDasya+AnuBAvikatve
taTAviDaviSezaRamantarBAvya,taTAviDaviSezaRam+antarBAvya
tAtparyajYAnahetutvAntarasya,tAtparyajYAnahetutva+antarasya
tAdfSakAraRatAvacCedakAvacCinnasya,tAdfSakAraRatAvacCedaka+avacCinnasya
sahitasyEva,sahitasya+eva
PalopaDAyakatvopagamAt,PalopaDAyakatva+upagamAt
GawAnvayaboDena,Gawa+anvayaboDena
ekaGawapadAvyayavaDAnasyAnyaGawapadottaratvasya,ekaGawapadAvyayavaDAnasya+anyaGawapadottaratvasya
SAbdaboDajanakaM vAcyam,SAbdaboDajanakam+vAcyam
svAvyahitatvaviSizwottaratvasaMbanDena,svAvyahitatvaviSizwa+uttaratvasaMbanDena
GawasyetyAdAvamAdipadasya,Gawasya+ityAdAvamAdipadasya
GawasyetyAdAvamAdipadasya,Gawasya+ityAdAvamAdipadasya
saMbanDatvABAvatAdfSaviSizwasaMbanDena,saMbanDatva+aBAvatAdfSaviSizwasaMbanDena
kasyacidapi,kasyacit+api
tatrAsatvAt,tatra+asatvAt
kAryakAraRaBAvavirahepi,kAryakAraRaBAvavirahe+api
nAtiprasaMNgaH,na+atiprasaMNgaH
kadAcidapi,kadAcit+api
liKitvAkenacinmOninA,liKitvAkenacit+mOninA
tAdfSalipyanumite,tAdfSalipi+anumite
cenna,cet+na
vyavahitotvaritayostaTA,vyavahitotvaritayoH+taTA
yaSca,yaH+ca
tAvadayaM,tAvat+ayam
vAkyArTamanuminotyeva,vAkyArTamanuminoti+eva
vAkAMkzA,vA+AkAMkzA
itTaM ca,itTam+ca
jAnato mImAMsakasya,jAnataH+mImAMsakasya
Sabdevyavahita,Sabde+avyavahita
pUrvatvamapi,pUrvatvam+api
vinigamanAviraheRAkAMkzA,vinigamanAviraheRa+AkAMkzA
tadajYAnayoSca,tadajYAnayoH+ca
pratyekajYAnAdapi,pratyekajYAnAt+api
sAmagrIpratibaMDakatayAmuBaya,sAmagrIpratibaMDakatayAm+uBaya
jYAnasyEva,jYAnasya+eva
pratibaMDakatAbAhulyApatteH,pratibaMDakatAbAhulya+ApatteH
cAgre,ca+agre
cAkAMkzA,ca+AkAMkzA
cAvAntaraboDaka,ca+AvAntaraboDaka
GawakarmakAnayanarUpaviSizwavAkyArTa,Gawakarmaka+AnayanarUpaviSizwavAkyArTa
tAtparyajYAnasahakftAByAmeva,tAtparyajYAnasahakftAByAm+eva
viSizwavAkyArTopapatteH,viSizwavAkyArTa+upapatteH
hetutvamiti,hetutvam+iti
pramARikamiti,pramARikam+iti
tAdfSaboDaM pratyAnayanapade,tAdfSaboDam+pratyAnayanapade
Gawamiti,Gawam+iti
Gawamiti,Gawam+iti
vAnayanapadapUrva,vA+AnayanapadapUrva
AnayanapadottaratvajYAnasyAnayanapade,AnayanapadottaratvajYAnasya+Anayanapade
Gawamiti,Gawam+iti
padottaratvABAvAdaBimanoddeSya,padottaratvABAvAdaBimana+uddeSya
viDeyAvimarSadozamudAharanti,viDeyAvimarSadozam+udAharanti
praTamAntanAmapadanizWAnu,praTamAntanAmapadanizWa+Anu
pUrvaviSezAvacCinnAKyAtAMta,pUrvaviSezAvacCinna+AKyAtAMta
vacCinnayoravyavaDAna,vacCinnayoH+avyavaDAna
pacatItyAdO,pacati+ityAdO
taRqulAdyaMSane,taRqulAdi+aMSane
BAvanAdyanvayaH,BAvanAdi+anvayaH
praTamAntapadopasTApyaMSa,praTamAntapadopasTApi+aSa
saMKyAprakArakaboDepi,saMKyAprakArakaboDe+api
BAvanAdyanvayasTala,BAvanAdi+anvayasTala
saMKyAnvayaH,saMKya+anvayaH
nAmapadayorAnupUrvI,nAmapadayoH+AnupUrvI
ayaM Gawa,ayam+Gawa
GawAdipadArTayoranvayaboDAnudayAt,GawAdipadArTayoH+anvayaboDAnudayAt
DanavAnityAdO,DanavAn+ityAdO
sAkzAdanvayaH,sAkzAt+anvayaH
tftIyArTABede,tftIyArTa+aBede
DAnAdAvanvayaH,DAnAdO+anvayaH
vaDAnaGawitAnupUrvyA,vaDAnaGawita+AnupUrvyA
AkAMkzAtvaM svIkaraRIyam,AkAMkzAtvam+svIkaraRIyam
evaM sarvatra,evam+sarvatra
yAdfSayAdfSavAkyArTaboDastatra,yAdfSayAdfSavAkyArTaboDaH+tatra
GawAdiprakArakaSAbdaboDemUpadatvAvacCinna,GawAdiprakArakaSAbdaboDe+amUpadatvAvacCinna
GawovAnaya,GawO+Anaya
karmatvopasTApaka,karmatva+upasTApaka
GawopasTApaka,Gawa+upasTApaka
hetutvAnna,hetutvAt+na
GawoddeSyaka,Gawa+uddeSyaka
niruktAkAMkzA,nirukta+AkAMkzA
vizayakajYAnajanyatAvacCedakaM vAcyam,vizayakajYAnajanyatAvacCedakam+vAcyam
tadAdipadopasTApita,tadAdipada+upasTApita
GawaviSezitakarmatvaboDastu,GawaviSezitakarmatvaboDaH+tu
GawAMSena,Gawa+aMSena
pUrvAnupasTitapadArTasyEva,pUrvAnupasTitapadArTasya+eva
cenna,cet+na
hetutvaM na,hetutvam+na
karmatvAdipadasyEva,karmatvAdipadasya+eva
GawAdiprakArakaboDAnupapatteH,GawAdiprakArakaboDa+anupapatteH
jYAnAdapi,jYAnAt+api
tAdfSAnvayaboDApatteH,tAdfSa+anvayaboDApatteH
hetutvopagame,hetutva+upagame
hetutvopagame,hetutva+upagame
karmatvapademU,karmatvapade+amU
padatvaBramadaSAyAM viBaktitvena,padatvaBramadaSAyAm+viBaktitvena
jYAnasaMBavAttAdfSaboDApatteH,jYAnasaMBavAt+tAdfSaboDApatteH
karmatvapadatvaBramadaSAyAM viBaktitvena,karmatvapadatvaBramadaSAyAm+viBaktitvena
jYAnaM vinA,jYAnam+vinA
taTAviDaSAbdaboDAnudayAcca,taTAviDaSAbdaboDAnudayAt+ca
janyatAvacCedakajAtInAM samUhAlambanAnupUrva,janyatAvacCedakajAtInAm+samUhAlambanAnupUrva
mEvam,mA+evam
tattalliNgakaparAmarSajanyatA,tattat+liNgakaparAmarSajanyatA
svasAmAnADikaraRyAvacCinna,svasAmAnADikaraRya+avacCinna
tattajjanyatAvacCedakakowO,tattat+janyatAvacCedakakowO
karmatvAdiviSezyakADeyatvAdi,karmatvAdiviSezyaka+ADeyatvAdi
