aM gaRAya,am+gaRAya
aBijYAyata eva,aBijYAyate+eva
aBiDAnamAsIt,aBiDAnam+AsIt
aBiDIyatAM madvacanAt,aBiDIyatAm+mad+vacanAt
aBiDIyatAM madvacanAt,aBiDIyatAm+madvacanAt
aBinandanaM nitarAM nitarAM BavyaM BavyaM jAtam,aBinandanam+nitarAm+nitarAm+Bavyam+Bavyam+jAtam
aBinandanagranTamudraRArTaM prakASakAya,aBinandanagranTamudraRArTam+prakASakAya
aBinandanagranTavArtAyASca,aBinandanagranTavArtAyAH+ca
aBinandanagranTasamiteranutTAnopahataM taTA,aBinandanagranTasamiteH+anutTAnopahatam+taTA
aBinandanagranTasyAvaraRaM,aBinandanagranTasya+AvaraRam
aBinandanagranTasyAstitvavizaye'pyasO,aBinandanagranTasya+astitvavizaye+api+asO
aBinandanamahotsavasamAyojanArTaM prAptasya,aBinandanamahotsavasamAyojanArTam+prAptasya
aBinandanamahotsavastu,aBinandanamahotsavaH+tu
aBinandanasamitirnirmitA,aBinandanasamitiH+nirmitA
aBinandanArTaM gfhItAyA,
aBinnaM SuklatvasAmAnyaM SuklatvasAmAnyaM SuklatvasAmAnye,aBinnam+SuklatvasAmAnyam+SuklatvasAmAnyam+SuklatvasAmAnye
aBinnakartfkatvameva,aBinnakartfkatvam+eva
aBinnatayetyatra,aBinnatayeti+atra
aBinnatvaM tadarTa tadarTa ityASayena,aBinnatvam+tat+arTaH+tat+arTaH+iti+ASayena
aBiBUyetarAMstattatkAraRatvaM,aBiBUyetarAn+tat+tatkAraRatvaM
aBimataDarmitA'vacCedakasAmAnADikaraRyenABAvabudDO,aBimataDarmitA'vacCedakasAmAnADikaraRyena+aBAvabudDO
aBimatametad viduzAm,aBimatam+etat+viduzAm
aBimanyukumAraSca,aBimanyukumAraH+ca
aBimanyundadO,aBimanyum+dadO
aBimanyorjananI,aBimanyoH+jananI
aBimAnAspadameva,aBimAnAspadam+eva
aBimAninaSca,aBimAninaH+ca
aBimAnipuruzoccAritAdahaM paRqita paRqita iti,aBimAnipuruzoccAritAt+aham+paRqitaH+paRqitaH+iti
aBimuKo Baveti,aBimuKaH+Bava+iti
aBiyogamakarot,aBiyogam+akarot
aBiyogasyopasTApakaH,aBiyogasya+upasTApakaH
aBiyogasyopasTApanAya,aBiyogasya+upasTApanAya
aBirUpapatirnAma,aBirUpapatiH+nAma
aBivAdayAtraBavantaM keSavadAsam,aBivAdaya+atraBavantam+keSavadAsam
aBivyaktiviSezaRatvaBrAntiM vArayati nityasyeti,aBivyaktiviSezaRatvaBrAntim+vArayati+nityasya+iti
aBizikto japed japed DyAyecCizyAdIn,aBiziktaH+japet+japet+DyAyet+SizyAdIn
aBizikto Bavatu,aBiziktaH+Bavatu
aBiziYcedaTAtmAnaM mUrdDni,aBiziYcet+aTa+AtmAnam+mUrdDni
aBizekaM pravakzyAmi,aBizekam+pravakzyAmi
aBizekaM samaByarccya,aBizekam+samaByarccya
aBizekanAwakaM samAptam,aBizekanAwakam+samAptam
aBizekamanicCantI,aBizekam+anicCantI
aBizekasAmagrImatra,aBizekasAmagrIm+atra
aBizekAdikaTanaM nAma,aBizekAdikaTanam+nAma
aBizekArTamAdarAt,aBizekArTam+AdarAt
aBizekArTamAdizwastvayA'haM gurumUrttinA,aBizekArTam+AdizwaH+tvayA+aham+gurumUrttinA
aBizekArTamita ito ito BavAn,aBizekArTam+itaH+itaH+itaH+BavAn
aBizektavya,aBizektavyaH
aBihatavaravapragopurAwwAM raGuvarakArmukanAdanirjitastvam,aBihatavaravapragopurAwwAm+raGuvarakArmukanAdanirjitaH+tvam
aBihitavatprakASe,aBihitavat+prakASe
aBIzwalABo na,aBIzwalABaH+na
aBIzwasidDirastu,aBIzwasidDiH+astu
aBuktvEva,aBuktvA+eva
aBuktvA'pi,aBuktvA+api
aBuYjAnasyeti,aBuYjAnasya+iti
aBUcca,aBUt+ca
aBUtvABAvitvAdvastrAdivaditigakartfkam,aBUtvABAvitvAt+vastrAdivat+itigakartfkam
aBUdAgamanamuzasa,
aBUva~ste'pi,aBUva~ste+api
aBUvaMstadA,aBUvan+tadA
aBUvaMstAByAm,aBUvan+tAByAm
aBedaevetyAdinA,aBedaeva+ityAdinA
aBedaprakArakaboDasyEva,aBedaprakArakaboDasya+eva
aBedavyavasTApanAnupapattirityata Aha nanviti,aBedavyavasTApanAnupapattiH+iti+ataH+Aha+nanu+iti
aBedaSca,aBedaH+ca
aBedaSceti,aBedaSca+iti
aBedasaMsargakajAtimatprakArakajAtimadviSezyakaboDasya,aBedasaMsargakajAtimat+prakArakajAtimadviSezyakaboDasya
aBedasaMsargakataRqulakarmakaprakArakaDAtvarTaviSezyakaboDaM prati,aBedasaMsargakataRqulakarmakaprakArakaDAtvarTaviSezyakaboDam+prati
aBedasaMsargakanIlaGawaprakArakaGawaviSezyakA'nvayaboDasyetyarTaH,aBedasaMsargakanIlaGawaprakArakaGawaviSezyaka+anvayaboDasya+ityarTaH
aBedasaMsargakanIlaprakArakaM svarUpasaMsargakA'Beda,aBedasaMsargakanIlaprakArakam+svarUpasaMsargaka+aBeda
aBedasaMsargakanIlaprakArakaGawaviSezyakaboDasyetyarTaH,aBedasaMsargakanIlaprakArakaGawaviSezyakaboDasya+ityarTaH
aBedasaMsargakanIlaprakArakaGawaviSezyakaSAbdatvaniveSo vyarTaH,aBedasaMsargakanIlaprakArakaGawaviSezyakaSAbdatvaniveSaH+vyarTaH
aBedasaMsargakanIlaprakArakaGawaviSezyakaSAbdaboDaM prati,aBedasaMsargakanIlaprakArakaGawaviSezyakaSAbdaboDam+prati
aBedasaMsargakanIlaprakArakaGawaviSezyakAnvayaboDajanaketyarTaH,aBedasaMsargakanIlaprakArakaGawaviSezyakAnvayaboDajanake+ityarTaH
aBedasaMsargakaboDaScetyarTaH,aBedasaMsargakaboDaSca+ityarTaH
aBedasaMsargakaboDasyEva,aBedasaMsargakaboDasya+eva
aBedasaMsargakaSAbdaboDaM prati,aBedasaMsargakaSAbdaboDam+prati
aBedasaMsargakaSAbdaboDodayAdityarTaH,aBedasaMsargakaSAbdaboDodayAt+ityarTaH
aBedasaMsargaketyarTaH,aBedasaMsargaka+ityarTaH
aBedasaMsargaboDasyEvetyarTaH,aBedasaMsargaboDasya+evetyarTaH
aBedasaMsargasyAsaMgrahaH,aBedasaMsargasya+asaMgrahaH
aBedasaMsargAvacCinnaprakAratAsaMsargeRenduviSizwasya,aBedasaMsargAvacCinnaprakAratAsaMsargeRa+induviSizwasya
aBedasambanDAvacCinnatvAditi,aBedasambanDAvacCinnatvAt+iti
aBedasambanDAvacCinnaprakAratAtmakatvAditi,aBedasambanDAvacCinnaprakAratAtmakatvAt+iti
aBedasambanDAvacCinnaprakAratABinnatadarTanizWavizayatASAliboDaScetyarTaH,aBedasambanDAvacCinnaprakAratABinnatadarTanizWavizayatASAliboDaSca+ityarTaH
aBedasambanDAvacCinnaprakAratABinnEveti,aBedasambanDAvacCinnaprakAratABinna+eveti
aBedasambanDAvacCinnaprakAratArUpEveti,aBedasambanDAvacCinnaprakAratArUpa+eveti
aBedasyeti,aBedasya+iti
aBedAtiriktasaMsargavizayakaboDaScetyarTaH,aBedAtiriktasaMsargavizayakaboDaSca+ityarTaH
aBedAtiriktasambanDeneti,aBedAtiriktasambanDena+iti
aBedAnvayaboDaprayojakasamAnaviBaktikatvaM rUpakasTale,aBedAnvayaboDaprayojakasamAnaviBaktikatvam+rUpakasTale
aBedAnvayaboDaSceti,aBedAnvayaboDaSca+iti
aBedAnvayaboDastu,aBedAnvayaboDaH+tu
aBedAnvayoveti,aBedAnvaya+eveti
aBedArTakatvapravAdopapattiriti,aBedArTakatvapravAdopapattiH+iti
aBedA'nvayaboDe,aBeda+anvayaboDe
aBedeneti,aBedena+iti
aBedenEva,aBedena+eva
aBedopasTApakaluptaviBaktipratisanDAnavirahepItyarTaH,aBedaH+pasTApakaluptaviBaktipratisanDAnavirahepi+ityarTaH
aBedoyadItyarTaH,aBedaH+yadi+ityarTaH
aBodA'nvayaboDa,aBodA+anvayaboDa
aByaktasnAtamucitAtpAdahInaM,aByaktasnAtam+ucitAt+pAdahInaM
aByaNga mAcarennityaM,aByaNgam+Acaret+nityaM
aByaNgasekapicavo bastiSceti,aByaNgasekapicavaH+bastiH+ca+iti
aByantaraM praviSya,aByantaram+praviSya
aByantaragamanAd ruroDa,aByantaragamanAt+ruroDa
aByantarAd AvftamAsIt,aByantarAt+Avftam+AsIt
aByarccAyAM paYcamI,aByarccAyAm+paYcamI
aByarcyESajapAdDyAnAdDomAtsarvaM raverBavet,aByarcya+ESajapAt+DyAnAt+homAt+sarvam+raveH+Bavet
aByavahartumAraBat,aByavahartum+AraBat
aByAgatAssarve'pi,aByAgatAH+sarve+api
aByukzyodvartya,aByukzya+udvartya
aByutTAnamaDarmasya,aByutTAnam+aDarmasya
aByunnatavidazwAgrajihvasyADastadASrayAm,aByunnatavidazwAgrajihvasya+aDaH+tadASrayAm
aByupagamavAdenAhaBAne,aByupagamavAdena+AhaBAne
aByupagame'pi,aByupagame+api
aByupagamo'pariharaRam,aByupagamaH+apariharaRam
aByupagamyamAnAyAmiti,aByupagamyamAnAyAm+iti
aByupetyeti,aByupetya+iti
aBraNkazamudacCalad,aBraNkazamuda+ucCalad
aBramaRAvasTAlAtavaditi,aBramaRAvasTAlAtavat+iti
aBramatvApattiriti,aBramatvApattiH+iti
aBrAntasyA'SrutatAdfSasamaBivyAhArasyApi,aBrAntasya+aSrutatAdfSasamaBivyAhArasya+api
aBrAntAnAmapi,aBrAntAnAm+api
aByupAyAsIt,aByupAya+AsIt
amaNgalarahitaM jAtam,amaNgalarahitam+jAtam
amaNgale'pi,amaNgale+api
amantramarccanaM kftvA,amantram+arccanam+kftvA
amantramarccanaM tatra,amantram+arccanam+tatra
amandamakarandAsvAdamodamattAlimAlAJaNkAraravABirAmAScA''rAmA,amandamakarandAsvAdamodamattAlimAlAJaNkAraravABirAmAH+ca+ArAmA
amararacayiturbARaBawwasyApi,amararacayituH+bARaBawwasya+api
amarasiMhasyASvasEnikAnAM,amarasiMhasya+aSvasEnikAnAM
amarasiMho vijayate,amarasiMhaH+vijayate
amarasiMho'pi,amarasiMhaH+api
amarApuramaDyuvAsa,amarApurIm+aDyuvAsa
amarIkAdeSAdAgatya,amarIkAdeSAt+Agatya
amaro baBUva,amaraH+baBUva
amarmago'lpahetvagrarUparUpo'nupadravaH,amarmagaH+alpahetvagrarUparUpaH+anupadravaH
amarzaleSo'pi,amarzaleSaH+api
amarzo maryAdAmupyallaNGayituM,amarzaH+maryAdAm+api+ullaNGayituM
amAtyErbrAhmaREScEva,amAtyEH+brAhmaREH+ca+eva
amAtrayA'hito kAle,amAtrayA+ahitaH+kAle
amAdipadasyApi,amAdipadasya+api
amAdisamaBivyAhftAnAM tezAM tezAM GawakarmatvAdO,amAdisamaBivyAhftAnAm+tezAm+tezAm+GawakarmatvAdO
amAvAsyAyAmapi,amAvAsyAyAm+api
amitayA'pi,amitayA+api
amitABABinItamidam,amitABABinItam+idam
amitAyA api,amitAyAH+api
amitAyA jAle,amitAyAH+jAle
amitAyA mAtA,amitAyAH+mAtA
amiSraRArTatvamatra,amiSraRArTatvam+atra
amunEva,amunA+eva
amumitsAviSizwAnumityAdAvanumitsAdInAmiva,amumitsAviSizwa+anumiti+AdO+anumitsAdInAm+iva
amumevArTamAha,amum+eva+arTam+Aha
amuzmiMScAnyaTA,amuzmin+ca+anyaTA
amUpadajanyakarmatvopasTititvAdinA,amUpadajanyakarmatva+upasTititvAdinA
amUrtatvAttarhi,amUrtatvAt+tarhi
amftaM tatkarAddEtyAH,amftam+tatkarAt+dEtyAH
amftatulyaM pragAQaM pragAQaM pAyasaM pAyasaM pradeyam,amftatulyam+pragAQam+pragAQam+pAyasam+pAyasam+pradeyam
amftatvamAnaSuH,amftatvam+AnaSuH
amftatvamapi,amftatvam+api
amftarucitarurAsIt,amftarucitaruH+AsIt
amftasyEva,amftasya+eva
amftANkanAwakaM saMvfttam,amftANkanAwakam+saMvfttam
amftApiDAnamasIti,amftApiDAnam+asi+iti
amftArTaM Sriye'surAH,amftArTam+Sriye+asurAH
amftopastaraRamasi,amftopastaraRam+asi
amoGavacano hi,amoGavacanaH+hi
ampratyayAdijanyakarmatvAdyupasTitiH,ampratyayAdijanyakarmatvAt+upasTitiH
ambAjYApayati idaM dvAraM dvAraM pravizwaM pravizwaM puzkaramupAvartitaM puzkaramupAvartitaM pravahaRam,ambA+AjYApayati+idam+dvAram+dvAram+pravizwam+pravizwam+puzkaram+upAvartitam+puzkaram+upAvartitam+pravahaRam
ambAyASca,ambAyAH+ca
ambAzwakamidaM smftam,ambAzwakam+idam+smftam
ambikAM SivanAmnIYca,ambikAm+SivanAmnIm+ca
amlo DAtrIPalA'mlIkAmAtuluNgA'mlavetasam,amlaH+DAtrIPalA'mlIkAmAtuluNgA'mlavetasam
amlo'gnidIptikftsnigDo hfdyaH,amlaH+agnidIptikftsnigDaH+hfdyaH
ayaM ityAkArakajYAnasya,ayam+ityAkArakajYAnasya
ayaM kAlo kAlo devImupasarpitum,ayam+kAlaH+kAlaH+devIm+upasarpitum
ayaM guruputro'SvatTAmeta guruputro'SvatTAmeta evABivartate,ayam+guruputraH+aSvatTAmena+guruputraH+aSvatTAmena+eva+aBivartate
ayaM Gawa Gawa ityAdipratyayAnAM ityAdipratyayAnAM GawatvAvacCinnavizayatAkatvavyavahArAt,ayam+GawaH+GawaH+ityAdipratyayAnAm+ityAdipratyayAnAm+GawatvAvacCinnavizayatAkatvavyavahArAt
ayaM GawavahnirUpadvayavAn,ayam+GawavahnirUpadvayavAn
ayaM cABAvastadvyaktitvAvacCinnapratiyogitAko cABAvastadvyaktitvAvacCinnapratiyogitAko grAhyo'nyaTetaraBedopAdAne,ayam+ca+aBAvaH+tadvyaktitvAvacCinnapratiyogitAkaH+ca+aBAvaH+tadvyaktitvAvacCinnapratiyogitAkaH+grAhyaH+anyaTA+itaraBedopAdAne
ayaM cASvaH,ayam+ca+aSvaH
ayaM tava,ayam+tava
ayaM dvO,ayam+dvO
ayaM pariBavo'TavAvalepaH,ayam+pariBavaH+aTavA+avalepaH
ayaM pratyayaH,ayam+pratyayaH
ayaM prAptakAlaH,ayam+prAptakAlaH
ayaM PalaMmekaM PalaMmekaM BuNkte,ayam+Palam+ekam+Palam+ekam+BuNkte
ayaM PalamekaM PalamekaM BuNkta,ayam+Palam+ekam+Palam+ekam+BuNkta
ayaM Bagavato Bagavato vAhano vAhano garuqaH,ayam+BagavataH+BagavataH+vAhanaH+vAhanaH+garuqaH
ayaM BAvaHnIlo BAvaHnIlo Gawa Gawa iti,ayam+BAvaHnIlaH+BAvaHnIlaH+GawaH+GawaH+iti
ayaM mahArAjaH,ayam+mahArAjaH
ayaM mahArAjo mahArAjo duryoDana duryoDana ita ita evABivartate,ayam+mahArAjaH+mahArAjaH+duryoDanaH+duryoDanaH+itaH+itaH+eva+aBivartate
ayaM mahArAjo mahArAjo BUmय़AmupavizwaH,ayam+mahArAjaH+mahArAjaH+BUmO+upavizwaH
ayaM mahArAjo mahArAjo laNkeSvara laNkeSvara ita ita evABivartate,ayam+mahArAjaH+mahArAjaH+laNkeSvaraH+laNkeSvaraH+itaH+itaH+eva+aBivartate
ayaM vArAmeko vArAmeko nilaya nilaya iti,ayam+vArAm+ekaH+vArAm+ekaH+nilayaH+nilayaH+iti
ayaM viSezyatAyA,ayam+viSezyatAyA
ayaM sa sa citrapawaH,ayam+saH+saH+citrapawaH
ayaM saMyamananirarTakaM saMyamananirarTakaM drazwavyaM drazwavyaM DArayati,ayam+saMyamananirarTakam+saMyamananirarTakam+drazwavyam+drazwavyam+DArayati
ayaM sarvaM sarvaM GawaM GawaM vettItyAdO,ayam+sarvam+sarvam+Gawam+Gawam+vetti+ityAdO
ayaM sarvaM sarvaM GawaM GawaM vettotyatredamIyajYAnaM vettotyatredamIyajYAnaM nirUpakatayA,ayam+sarvam+sarvam+Gawam+Gawam+vettotyatra+idamIyajYAnam+vettotyatra+idamIyajYAnam+nirUpakatayA
ayaM so so DArtarAzwravanadavAgniH,ayam+saH+saH+DArtarAzwravanadavAgniH
ayaMBAvaHrAjapadA'vyavahitottarapuruzapadatvarUpAnupUrvIjYAnAvyavahitottaratvaviSizwA'BedasaMsargakarAjasambanDiprakArakapuruzaviSezyakaSAbdaboDaM prati,ayam+BAvaHrAjapada+avyavahitottarapuruzapadatvarUpAnupUrvIjYAnAvyavahitottaratvaviSizwa+aBedasaMsargakarAjasambanDiprakArakapuruzaviSezyakaSAbdaboDam+prati
ayaMBAvaHrAjYaH,ayam+BAvaHrAjYaH
ayatnopanataM te,ayatnopanatam+te
ayaTArTatvAditi,ayaTArTatvAt+iti
ayanantasya,ayanam+tasya
ayamaNgarAjaH,ayam+aNgarAjaH
ayamatrasaMgrahaH,ayam+atrasaMgrahaH
ayamaDArmikaH,ayam+aDArmikaH
ayamanunayasarvasvamaYjaliH,ayam+anunayasarvasvamaYjaliH
ayamanya upAyaH,ayam+anyaH+upAyaH
ayamapaSyadyat,ayam+apaSyat+yat
ayamapfcCat,ayam+apfcCat
ayamapyaamarzonmIlitaraBasalocano BImasenApakramaRamudvIkzamARaH BImasenApakramaRamudvIkzamARaH ita ita evABivartate,ayam+api+amarzonmIlitaraBasalocanaH+BImasenApakramaRam+udvIkzamARaH+BImasenApakramaRam+udvIkzamARaH+itaH+itaH+eva+aBivartate
ayamapyErAvataSirovizaktaH,ayam+api+ErAvataSirovizaktaH
ayamapय़AgataH,ayam+api+AgataH
ayamapyaBUttAdfSa,ayam+api+aBUt+tAdfSa
ayamaBivAdaye,ayam+aBivAdaye
ayamaBisanDiHna,ayam+aBisanDiHna
ayamaBihatagajaturaganararaTaprArAkAramaDyagataH,ayam+aBihatagajaturaganararaTaprArAkAramaDyagataH
ayamayamAgacCAmi,ayam+ayam+AgacCAmi
ayamarkAdiko vargaH,ayam+arkAdikaH+vargaH
ayamasAvityAdinA,ayam+asO+ityAdinA
ayamasmAkamAcAra,
ayamahaM vArayAmi,ayam+aham+vArayAmi
ayamahamAnayAmi,ayam+aham+AnayAmi
ayamaho,ayaM+aho
ayamAkASavAn,ayam+AkASavAn
ayamAropyamARastu,ayam+AropyamARaH+tu
ayamAryAM,ayam+AryAM
ayamASaktaH,ayam+aSaktaH
ayamAsIccEtramAsa,
ayamAsIt,ayam+AsIt
ayamAsItpraBAva,
ayamAsIdekaH,ayam+AsIt+ekaH
ayamAsId vAdavivAdavizayaH,ayam+AsIt+vAdavivAdavizayaH
ayamAsId vicAravizayaH,ayam+AsIt+vicAravizayaH
ayamekaH,ayam+ekaH
ayametatkapisaMyogI,ayam+etatkapisaMyogI
ayametIti,ayameti+iti
ayametezAM,ayam+etezAM
ayamevAtaSSabdArTaH,ayam+eva+ataH+SabdArTaH
ayamevopAyo'vaSizwa AsIt,ayam+eva+upAya+avaSizwa
ayAtvityuktamiti,ayAtu+iti+uktam+iti
ayikimatra,ayikim+atra
ayuktaM pararahasyaM pararahasyaM Srotum,ayuktam+pararahasyam+pararahasyam+Srotum
ayuktAvasTAyAM tu,ayuktAvasTAyAm+tu
ayutaM budDavidyAnAM budDavidyAnAM stotrARAYca,ayutam+budDavidyAnAm+budDavidyAnAm+stotrARAm+ca
ayutasidDatvAditi,ayutasidDatvAt+iti
ayutasidDAvudAhftya,ayutasidDO+udAhftya
ayutasidDyaBAvameva,ayutasidDyaBAvam+eva
ayogAcca,ayogAt+ca
ayogyatAjYAnamAtrasyEva,ayogyatAjYAnamAtrasya+eva
ayogyatAjYAneti,ayogyatAjYAna+iti
ayogyamanusaranti,ayogyam+anusaranti
ayogyamasti,ayogyam+asti
ayogyavyasanamiti,ayogyavyasanam+iti
ayogyasyeti,ayogyasya+iti
ayoDyAM BaratoByAgAt,ayoDyAm+BarataH+aByAgAt
ayoDyAmAgatya,ayoDyAm+Agatya
ayoDyAyAM nfpo nfpo Bava,ayoDyAyAm+nfpaH+nfpaH+Bava
ayoDyAlaNkftiM dfzwvA,ayoDyAlaNkftim+dfzwvA
ayyaM kulaM kulaM ca,ayyam+kulam+kulam+ca
ayyara,ayyaraH
araRyakARqavarRanaM nAma,araRyakARqavarRanam+nAma
araRyAd bahirAgantuM,araRyAt+bahiH+AgantuM
araRyamasmABiranvizwam,araRyam+asmABiH+anvizwam
arabadeSIyA hayA hayA api,arabadeSIyAH+hayAH+hayAH+api
arabbIBAzAmapi,arabbIBAzAm+api
arayo'pi,arayaH+api
aravalI,AkramaRam+akarot
arARIva,arARI+iva
arAtiBirnigfhItaH,arAtiBiH+nigfhItaH
arAmamarAvaRaM,arAmam+arAvaRaM
ariktakastAvadaham,ariktakaH+tAvat+aham
arijanamapi,arijanam+api
aridamananfpo dIkzAmAdade,aridamananfpaH+dIkzAm+Adade
ariBirnigfhItaH,ariBiH+nigfhItaH
arizwanemipatnInAmapatyAnIha,arizwanemipatnInAm+apatyAni+iha
arizwarzaBaH,arizwarzaBaH
arizwarzaBaHo'tra,arizwarzaBaHH+atra
arizwavfzaBaM hatvA,arizwavfzaBam+hatvA
arizwAyAntu,arizwAyAm+tu
arizWo'stu,arizWaH+astu
aruRakamalalIlAM yasya,aruRakamalalIlAm+yasya
aruRAyAScitraM sammuKe,aruRAyAH+citram+sammuKe
aruRAyAScitram,aruRAyAH+citram
aruRogniniBaScEva,aruRaH+agniniBaH+ca+eva
aruRodaM mahABadraM mahABadraM saMSitodaM saMSitodaM samAnasam,aruRodam+mahABadram+mahABadram+saMSitodam+saMSitodam+samAnasam
aruRyeti,aruRya+iti
arUkzamanaBizyandi,arUkzam+anaBizyandi
arUpitvAdityukte,arUpitvAt+ityukte
are'yamAtmA,are+ayam+AtmA
arogo yuvA,arogaH+yuvA
arkatApAdrakzito'gAd dagDapakzo'hamaBragaH,arkatApAt+rakzitaH+agAt+dagDapakzaH+aham+aBragaH
arkAsanaM syAt,arkAsanam+syAt
arkkAMSaM pUrvavat,arkkAMSam+pUrvavat
arkkAsanaM hi,arkkAsanam+hi
arGapAtrakaro yAyAdagnyAgAraM yAyAdagnyAgAraM susaMvftaH,arGapAtrakaraH+yAyAt+agnyAgAram+yAyAt+agnyAgAram+susaMvftaH
arGyaM parANmuKaM parANmuKaM dattvA,arGyam+parANmuKam+parANmuKam+dattvA
arGyaM pAdyaM pAdyaM taTAcAmaM taTAcAmaM maDuparkkaM maDuparkkaM punaSca,arGyam+pAdyam+pAdyam+taTA+AcAmam+taTA+AcAmam+maDuparkkam+maDuparkkam+punaH+ca
arGyaYcaturBirudGAtErvahniBUtaM viSoDayet,arGyam+caturBiH+udGAtEH+vahniBUtam+viSoDayet
arGyadAnaM vinizpAdya,arGyadAnam+vinizpAdya
arGyadAnakaTanaM nAma,arGyadAnakaTanam+nAma
arGyadAnamidaM proktaM proktaM tatra,arGyadAnam+idam+proktam+proktam+tatra
arGyamAcamanandadet,arGyam+Acamanam+dadet
arGyAdBistu,arGyAdBiH+tu
arGyodabindupuzpAdyErgaqqUkEH,arGyodabindupuzpAdyEH+gaqqUkEH
arGyaM dattam,arGyam+dattam
arGyAdikamadadat,arGyAdikam+adadat
arGyottaraM karma,arGyottaram+karma
arcayed devagovipravfdDavEdyanfpA'tiTIn,arcayet+devagovipravfdDavEdyanfpA'tiTIn
arccayecca,arccayet+ca
arccayeyuSca,arccayeyuH+ca
arjunAtsamajIjanat,arjunAt+samajIjanat
arjuno jitavAn,arjunaH+jitavAn
arRavottuNgataraNgA iva,arRavottuNgataraNgAH+iva
arTakfSo manujo manujo nahi,arTakfSaH+manujaH+manujaH+nahi
arTagatyeti,arTagatyA+iti
arTajasyeti,arTajasya+iti
arTajijYAsAyAmAha,arTajijYAsAyAm+Aha
arTatatsaMsargaparihAreRa,arTatat+saMsargaparihAreRa
arTatAtparyajYAnakAraRatvAMtarasya,arTatAtparyajYAnakAraRatva+aMtarasya
arTadaRqErdaRqitAH,arTadaRqEH+daRqitAH
arTaDarmiketi,arTaDarmikA+iti
arTaniScayarUpatve,arTaniScayarUpatve
arTaniScAyakatvABAve'pi,arTaniScAyakatvABAve+api
arTaboDajanakatAvacCedakA'nupUrvImatvam,arTaboDajanakatAvacCedaka+AnupUrvImatvam
arTaboDasvarUpayogyatvaM ca,arTaboDasvarUpayogyatvam+ca
arTavatprAtipadikamitivyavahArAt,arTavatprAtipadikam+itivyavahArAt
arTavatvaM syAdatonizeDadvayagarBatA,arTavatvam+syAt+ataH+nizeDadvayagarBatA
arTavatvaM hi,arTavatvam+hi
arTavaditisUtre'rTavatvaM na,arTavat+itisUtre+arTavatvam+na
arTavaditisUtre'rTavatvasya,arTavat+itisUtre+arTavatvasya
arTavyavasTApi,arTavyavasTA+api
arTasannikarzaM ca,arTasannikarzam+ca
arTasamasyApi,arTasamasyA+api
arTA iti,arTAH+iti
arTAdApannasya,arTAt+Apannasya
arTAdudite,arTAt+udite
arTADyAhAramate'pi,arTADyAhAramate+api
arTAnusanDAnapUrvakaM,arTa+anusanDAnapUrvakaM
arTAntaragrasta evA'pratijYAtatvAditi,arTa+antaragrastaH+eva+apratijYAtatvAt+iti
arTAntarapratipattyarTamavaSyaprayoktavyapadArTAdevetyarTaH,arTAntarapratipattyarTamavaSyaprayoktavyapadArTAt+everTaH
arTAntaraboDane'nuSAsanavirahAt,arTAntaraboDane+anuSAsanavirahAt
arTAntarA'yogyatvAt,arTAntarA+ayogyatvAt
arTAnyaTAtvahetusTadozajYAnAdapodyate,arTAnyaTAtvahetusTadozajYAnAt+apodyate
arTApattiriti,arTApattiH+iti
arTApattirveti,arTApattiH+vA+iti
arTApattistvanyaTEvopapannA,arTApattiH+tu+anyaTA+eva+upapannA
arTApatteranudaya eva,arTApatteH+anudayaH+eva
arTApatterapyanumAne'ntarBAvaH,arTApatteH+api+anumAne+antarBAvaH
arTApatteriyaM,arTApatteH+iyaM
arTApattyAdikaM tu,arTApattyAdikam+tu
arTAByupagamo'ByupagamyamAno vArTaH,arTAByupagamaH+aByupagamyamAnaH+vA+arTaH
arTAvivakzAyAM,arTAvivakzAyAm
arTASca,arTAH+ca
arTAstattvArTAH,arTAH+tattvArTAH
arTA'GawitatayA,arTA+aGawitatayA
arTErasAtmyEH,arTEH+asAtmyEH
arTo Bavati,arTaH+Bavati
arTo'vabudDa,
ardDacandraM dravaM dravaM sOmyaM sOmyaM SuBramamBojalAYCitam,ardDacandram+dravam+dravam+sOmyam+sOmyam+SuBram+amBojalAYCitam
ardDacandraDaro rAhuH,ardDacandraDaraH+rAhuH
ardDatoTavA,ardDataH+aTavA
ardDanArISvaraM tadvadDariSaNkaramAtfkAH,ardDanArISvaram+tadvat+hariSaNkaramAtfkAH
ardDapadAvyavahitottarakAryapadaDarmikakiMcidarTaparatvajYAnarUpapratibanDakasatvAditi,ardDapadAvyavahitottarakAryapadaDarmikakiMcidarTaparatvajYAnarUpapratibanDakasatvAt+iti
ardDapippalItyAdO,ardDapippali+ityAdO
ardDarAjyaM tataH,ardDarAjyam+tataH
ardDANgulaM taTA,ardDANgulam+taTA
ardDANgulaM taTAnyAsAM taTAnyAsAM kramAn kramAn nyUnaM nyUnaM tu,ardDANgulam+taTA+anyAsAm+taTA+anyAsAm+kramAt+kramAt+nyUnam+nyUnam+tu
ardDArdDadviguRo vApi,ardDArdDadviguRaH+vA+api
ardDenEva,ardDena+eva
arDanArISvara iva,arDanArISvaraH+iva
arDamarDaM,arDam+arDaM
arDamiva,arDam+iva
arDarAtrirupAgatA,arDarAtriH+upAgatA
arDasamitAyAScitAyA,
arDahorAM yAvatparIkzaRaM yAvatparIkzaRaM prAcalat,arDahorAm+yAvat+parIkzaRam+yAvat+parIkzaRam+prAcalat
